,Quarter,Tm,Detail,NYG,HOU
0,1.0,Giants,Joe Morris 12 yard rush (Eric Schubert kick),7,0
1,1.0,Giants,Joe Morris 2 yard rush (Eric Schubert kick),14,0
2,2.0,Oilers,Jamie Williams 3 yard pass from Warren Moon (Tony Zendejas kick),14,7
3,2.0,Oilers,Tim Smith 27 yard pass from Warren Moon (Tony Zendejas kick),14,14
4,2.0,Giants,Mark Bavaro 10 yard pass from Phil Simms (Eric Schubert kick),21,14
5,2.0,Giants,Joe Morris 2 yard rush (Eric Schubert kick),28,14
6,2.0,Giants,Bobby Johnson 22 yard pass from Phil Simms (Eric Schubert kick),35,14
