,Quarter,Tm,Detail,WAS,BKN
0,2.0,Dodgers,Pug Manders 1 yard rush (Merl Condit kick),0,7
1,2.0,Redskins,Dick Todd 28 yard pass from Sammy Baugh (Bob Masterson kick),7,7
2,2.0,Dodgers,Merl Condit 15 yard field goal,7,10
3,2.0,Redskins,Dick Todd 4 yard pass from Sammy Baugh (Roy Zimmerman kick),14,10
4,3.0,Redskins,John Kovatch 13 yard pass from Sammy Baugh (Bob Masterson kick),21,10
