,Quarter,Tm,Detail,SEA,DEN
0,2.0,Seahawks,John Kasay 34 yard field goal,3,0
1,3.0,Broncos,Gaston Green 1 yard rush (David Treadwell kick),3,7
2,3.0,Seahawks,John Kasay 36 yard field goal,6,7
3,4.0,Broncos,David Treadwell 30 yard field goal,6,10
