,Quarter,Tm,Detail,MIN,CHI
0,1.0,Bears,Dennis McKinnon 33 yard pass from Jim McMahon (Kevin Butler kick),0,7
1,1.0,Bears,Kevin Butler 40 yard field goal,0,10
2,2.0,Vikings,Darrin Nelson 1 yard rush (Jan Stenerud kick),7,10
3,2.0,Bears,Kevin Butler 29 yard field goal,7,13
4,3.0,Bears,Otis Wilson 23 yard interception return (Kevin Butler kick),7,20
5,4.0,Bears,Walter Payton 20 yard pass from Jim McMahon (Kevin Butler kick),7,27
6,4.0,Vikings,"Safety, Elshire tackled Fuller in end zone",9,27
