,Quarter,Tm,Detail,CHI,NYJ
0,1.0,Bears,Kevin Butler 18 yard field goal,3,0
1,1.0,Jets,Pat Leahy 23 yard field goal,3,3
2,2.0,Bears,Tim Wrightman 7 yard pass from Jim McMahon (Kevin Butler kick),10,3
3,3.0,Jets,Pat Leahy 55 yard field goal,10,6
4,3.0,Bears,Kevin Butler 31 yard field goal,13,6
5,4.0,Bears,Kevin Butler 37 yard field goal,16,6
6,4.0,Bears,Kevin Butler 21 yard field goal,19,6
