,Quarter,Tm,Detail,BAL,CIN
0,1.0,Bengals,Pete Johnson 5 yard rush (Jim Breech kick),0,7
1,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),0,14
2,2.0,Bengals,Isaac Curtis 67 yard pass from Ken Anderson (Jim Breech kick),0,21
3,2.0,Colts,Steve Mike-Mayer 41 yard field goal,3,21
4,2.0,Bengals,Jim Breech 32 yard field goal,3,24
5,2.0,Colts,Steve Mike-Mayer 37 yard field goal,6,24
6,3.0,Bengals,Dan Ross 17 yard pass from Jack Thompson (Jim Breech kick),6,31
7,4.0,Colts,Marvin Sims 2 yard rush (Steve Mike-Mayer kick),13,31
8,4.0,Colts,Randy Burke 16 yard pass from Bert Jones,19,31
9,4.0,Colts,Curtis Dickey 1 yard rush (Steve Mike-Mayer kick),26,31
10,4.0,Colts,Curtis Dickey 22 yard pass from Bert Jones (Steve Mike-Mayer kick),33,31
11,4.0,Bengals,Jim Breech 21 yard field goal,33,34
