,Quarter,Tm,Detail,DAL,MIA
0,2.0,Dolphins,Mark Clayton 41 yard pass from Dan Marino (Uwe von Schamann kick),0,7
1,3.0,Dolphins,Bruce Hardy 3 yard pass from Dan Marino (Uwe von Schamann kick),0,14
2,3.0,Cowboys,Timmy Newsome 1 yard rush (Rafael Septien kick),7,14
3,4.0,Cowboys,Timmy Newsome 4 yard rush (Rafael Septien kick),14,14
4,4.0,Dolphins,Mark Clayton 39 yard pass from Dan Marino (Uwe von Schamann kick),14,21
5,4.0,Cowboys,Tony Hill 66 yard pass from Danny White (Rafael Septien kick),21,21
6,4.0,Dolphins,Mark Clayton 63 yard pass from Dan Marino (Uwe von Schamann kick),21,28
