,Quarter,Time,Tm,Detail,PIT,KAN
0,1,14:44,Chiefs,Jamaal Charles 97 yard kickoff return (Ryan Succop kick),0,7
1,2,14:50,Steelers,Jeff Reed 36 yard field goal,3,7
2,2,5:32,Steelers,Hines Ward 8 yard pass from Ben Roethlisberger (Jeff Reed kick),10,7
3,2,1:10,Steelers,Heath Miller 10 yard pass from Ben Roethlisberger (Jeff Reed kick),17,7
4,3,10:48,Chiefs,Leonard Pope 21 yard pass from Matt Cassel (Ryan Succop kick),17,14
5,3,0:05,Chiefs,Ryan Succop 27 yard field goal,17,17
6,4,8:35,Steelers,Rashard Mendenhall 8 yard pass from Ben Roethlisberger (Jeff Reed kick),24,17
7,4,4:54,Chiefs,Jamaal Charles 2 yard pass from Matt Cassel (Ryan Succop kick),24,24
8,OT,8:28,Chiefs,Ryan Succop 22 yard field goal,24,27
