,Quarter,Time,Tm,Detail,CHI,SFO
0,2.0,10:54,49ers,Robbie Gould 33 yard field goal,0,3
1,2.0,5:49,49ers,Robbie Gould 30 yard field goal,0,6
2,2.0,1:52,Bears,Anthony Miller 4 yard pass from Mitchell Trubisky (Cody Parkey kick),7,6
3,2.0,0:00,49ers,Robbie Gould 23 yard field goal,7,9
4,3.0,4:14,Bears,Jordan Howard 2 yard rush (Cody Parkey kick),14,9
