,Quarter,Tm,Detail,KAN,OAK
0,2.0,Raiders,George Blanda 30 yard field goal,0,3
1,4.0,Raiders,Charlie Smith 8 yard pass from Daryle Lamonica (George Blanda kick),0,10
2,4.0,Chiefs,Wendell Hayes 1 yard rush (run failed),6,10
