,Quarter,Time,Tm,Detail,TEN,MIN
0,1.0,8:06,Titans,Eddie George 13 yard rush (Joe Nedney kick),7,0
1,1.0,1:10,Titans,Joe Nedney 37 yard field goal,10,0
2,2.0,7:40,Vikings,Byron Chamberlain 6 yard pass from Todd Bouman (Gary Anderson kick),10,7
3,2.0,0:40,Vikings,Jake Reed 20 yard pass from Todd Bouman (Gary Anderson kick),10,14
4,3.0,12:36,Vikings,Michael Bennett 31 yard rush (Gary Anderson kick),10,21
5,3.0,10:29,Vikings,Doug Chapman 38 yard pass from Todd Bouman (Gary Anderson kick),10,28
6,4.0,14:07,Titans,Derrick Mason 15 yard pass from Steve McNair (Joe Nedney kick),17,28
7,4.0,7:53,Vikings,Michael Bennett 10 yard rush (Gary Anderson kick),17,35
8,4.0,2:57,Titans,Frank Wycheck 9 yard pass from Steve McNair (Joe Nedney kick),24,35
9,4.0,2:35,Vikings,Randy Moss 73 yard pass from Todd Bouman (Gary Anderson kick),24,42
