,Quarter,Time,Tm,Detail,ARI,DAL
0,1.0,13:28,Cowboys,George Teague 32 yard interception return (Richie Cunningham kick),0,7
1,1.0,3:19,Cowboys,Michael Irvin 18 yard pass from Troy Aikman (Richie Cunningham kick),0,14
2,2.0,12:01,Cowboys,Rocket Ismail 6 yard pass from Troy Aikman (Richie Cunningham kick),0,21
3,2.0,0:11,Cardinals,Joel Makovicka 2 yard pass from Jake Plummer (Chris Jacke kick),7,21
4,3.0,7:59,Cowboys,Emmitt Smith 1 yard rush (Richie Cunningham kick),7,28
5,4.0,10:13,Cowboys,Greg Ellis 98 yard defensive fumble return (Richie Cunningham kick),7,35
