,Quarter,Tm,Detail,GNB,CRD
0,1.0,Packers,Ted Fritsch 37 yard field goal,3,0
1,1.0,Cardinals,Steve Lach 35 yard pass from Bud Schwenk (Bill Daddio kick),3,7
2,2.0,Cardinals,Bill Daddio 32 yard field goal,3,10
3,2.0,Cardinals,Bill Daddio 38 yard field goal,3,13
4,4.0,Packers,Don Hutson 5 yard pass from Cecil Isbell (Don Hutson kick),10,13
5,4.0,Packers,Charley Brock 20 yard fumble return (Don Hutson kick),17,13
