,Quarter,Time,Tm,Detail,GNB,TAM
0,2.0,14:41,Buccaneers,Shelton Quarles 98 yard interception return (Martin Gramatica kick),0,7
1,2.0,4:46,Packers,Bill Schroeder 67 yard pass from Brett Favre (Ryan Longwell kick),7,7
2,3.0,4:20,Packers,Ryan Longwell 35 yard field goal,10,7
3,4.0,6:45,Buccaneers,Mike Alstott 39 yard rush (Martin Gramatica kick),10,14
