,Quarter,Tm,Detail,CLE,HOU
0,1.0,Oilers,Toni Fritsch 28 yard field goal,0,3
1,1.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),0,10
2,2.0,Browns,Don Cockroft 46 yard field goal,3,10
3,2.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),3,17
4,2.0,Oilers,J.C. Wilson 34 yard interception return (Toni Fritsch kick),3,24
5,2.0,Browns,Brian Sipe 1 yard rush (Don Cockroft kick),10,24
6,3.0,Oilers,Earl Campbell 1 yard rush (Toni Fritsch kick),10,31
