,Quarter,Tm,Detail,RAM,DAL
0,1.0,Cowboys,Ron Springs 1 yard rush (Rafael Septien kick),0,7
1,1.0,Cowboys,Rafael Septien 40 yard field goal,0,10
2,1.0,Cowboys,"Safety, Martin tackled Haden in end zone",0,12
3,2.0,Cowboys,Tony Dorsett 44 yard rush (Rafael Septien kick),0,19
4,2.0,Rams,Wendell Tyler 2 yard rush (Frank Corral kick),7,19
5,2.0,Rams,Frank Corral 40 yard field goal,10,19
6,2.0,Cowboys,Tony Hill 63 yard pass from Danny White (Rafael Septien kick),10,26
7,3.0,Rams,Drew Hill 43 yard pass from Pat Haden (Frank Corral kick),17,26
8,4.0,Cowboys,Rafael Septien 39 yard field goal,17,29
