,Quarter,Time,Tm,Detail,CHI,MIA
0,1.0,,Dolphins,Pete Stoyanovich 29 yard field goal,0,3
1,1.0,,Bears,Keith Jennings 23 yard pass from Curtis Conway (Kevin Butler kick),7,3
2,2.0,,Dolphins,Pete Stoyanovich 33 yard field goal,7,6
3,4.0,,Bears,Lewis Tillman 1 yard rush (Kevin Butler kick),14,6
4,4.0,,Dolphins,Keith Jackson 11 yard pass from Dan Marino (Aaron Craver run),14,14
5,4.0,,Bears,Kevin Butler 40 yard field goal,17,14
