,Quarter,Time,Tm,Detail,PHI,NOR
0,1.0,9:10,Saints,Wil Lutz 38 yard field goal,0,3
1,1.0,3:12,Saints,Austin Carr 3 yard pass from Drew Brees (Wil Lutz kick),0,10
2,2.0,12:07,Saints,Mark Ingram 14 yard rush (Wil Lutz kick),0,17
3,2.0,8:42,Eagles,Josh Adams 28 yard rush (Jake Elliott kick),7,17
4,2.0,0:39,Saints,Tre'Quan Smith 15 yard pass from Drew Brees (Wil Lutz kick),7,24
5,3.0,11:20,Saints,Michael Thomas 23 yard pass from Drew Brees (Wil Lutz kick),7,31
6,3.0,5:34,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),7,38
7,4.0,13:15,Saints,Alvin Kamara 37 yard pass from Drew Brees (Wil Lutz kick),7,45
8,4.0,6:46,Saints,Wil Lutz 19 yard field goal,7,48
