,Quarter,Time,Tm,Detail,JAX,BUF
0,1.0,5:02,Bills,Isaiah McKenzie 6 yard rush (Stephen Hauschka kick),0,7
1,1.0,2:39,Bills,Robert Foster 75 yard pass from Josh Allen (Stephen Hauschka kick),0,14
2,2.0,10:58,Jaguars,Leonard Fournette 5 yard rush (Josh Lambo kick),7,14
3,2.0,5:30,Jaguars,Leonard Fournette 1 yard rush (Josh Lambo kick),14,14
4,4.0,14:52,Bills,Josh Allen 14 yard rush (Stephen Hauschka kick),14,21
5,4.0,3:06,Bills,Stephen Hauschka 22 yard field goal,14,24
6,4.0,1:20,Jaguars,Dede Westbrook 13 yard pass from Blake Bortles (Josh Lambo kick),21,24
