,Quarter,Time,Tm,Detail,PHI,MIN
0,1.0,,Vikings,Jake Reed 48 yard pass from Brad Johnson (Eddie Murray kick),0,7
1,1.0,,Eagles,Chris Boniol 47 yard field goal,3,7
2,2.0,,Eagles,Irving Fryar 6 yard pass from Ty Detmer (Chris Boniol kick),10,7
3,2.0,,Vikings,Robert Smith 12 yard pass from Brad Johnson (Eddie Murray kick),10,14
4,2.0,,Eagles,Chris Boniol 26 yard field goal,13,14
5,3.0,,Vikings,Robert Smith 14 yard rush (Eddie Murray kick),13,21
6,3.0,,Eagles,Kevin Turner 20 yard pass from Ty Detmer (pass failed),19,21
7,4.0,,Vikings,Cris Carter 18 yard pass from Brad Johnson (Eddie Murray kick),19,28
