,Quarter,Time,Tm,Detail,PHI,NYG
0,1.0,9:59,Giants,John Carney 22 yard field goal,0,3
1,1.0,5:58,Eagles,Donovan McNabb 1 yard rush (David Akers kick),7,3
2,2.0,12:34,Giants,"Safety, Donovan McNabb penalized for intentional grounding in the end zone.",7,5
3,2.0,1:33,Giants,John Carney 34 yard field goal,7,8
4,2.0,0:00,Eagles,David Akers 25 yard field goal,10,8
5,3.0,12:33,Giants,John Carney 36 yard field goal,10,11
6,3.0,7:45,Eagles,David Akers 35 yard field goal,13,11
7,4.0,14:56,Eagles,Brent Celek 1 yard pass from Donovan McNabb (David Akers kick),20,11
8,4.0,3:58,Eagles,David Akers 20 yard field goal,23,11
