,Quarter,Tm,Detail,SEA,PHI
0,1.0,Eagles,Tom Sullivan 4 yard rush (Horst Muhlmann kick),0,7
1,2.0,Eagles,Tom Sullivan 1 yard rush (Horst Muhlmann kick),0,14
2,2.0,Seahawks,John Leypoldt 24 yard field goal,3,14
3,3.0,Eagles,Horst Muhlmann 33 yard field goal,3,17
4,3.0,Eagles,Charlie Smith 3 yard rush (Horst Muhlmann kick),3,24
5,4.0,Eagles,Horst Muhlmann 37 yard field goal,3,27
6,4.0,Seahawks,Steve Largent 9 yard pass from Jim Zorn (John Leypoldt kick),10,27
