,Quarter,Tm,Detail,TAM,PIT
0,1.0,Buccaneers,Bill Capece 26 yard field goal,3,0
1,1.0,Buccaneers,Bill Capece 49 yard field goal,6,0
2,2.0,Buccaneers,Bill Capece 27 yard field goal,9,0
3,3.0,Buccaneers,Bill Capece 28 yard field goal,12,0
4,4.0,Steelers,Wayne Capers 11 yard pass from Cliff Stoudt (Gary Anderson kick),12,7
5,4.0,Steelers,Gary Anderson 42 yard field goal,12,10
6,4.0,Steelers,Frank Pollard 2 yard rush (Gary Anderson kick),12,17
