,Quarter,Tm,Detail,KAN,CIN
0,1.0,Bengals,Isaac Curtis 18 yard pass from Ken Anderson (Horst Muhlmann kick),0,7
1,2.0,Bengals,Ed Williams 19 yard pass from Ken Anderson (Horst Muhlmann kick),0,14
2,2.0,Bengals,Bob Maddox special teams fumble recovery in end zone,0,20
3,2.0,Chiefs,Jan Stenerud 27 yard field goal,3,20
4,2.0,Bengals,Isaac Curtis 6 yard pass from Ken Anderson (Horst Muhlmann kick),3,27
5,2.0,Chiefs,Jan Stenerud 47 yard field goal,6,27
6,4.0,Bengals,Chip Myers 11 yard pass from Ken Anderson,6,33
