,Quarter,Tm,Detail,IND,MIA
0,1.0,Dolphins,Charlie Baumann 48 yard field goal,0,3
1,2.0,Colts,Dean Biasucci 48 yard field goal,3,3
2,3.0,Dolphins,Aaron Craver 7 yard rush (Charlie Baumann kick),3,10
3,4.0,Colts,Dean Biasucci 21 yard field goal,6,10
4,4.0,Dolphins,Jim Jensen 9 yard pass from Dan Marino (Charlie Baumann kick),6,17
