,Quarter,Time,Tm,Detail,NYJ,ATL
0,1.0,5:46,Jets,Nick Folk 22 yard field goal,3,0
1,2.0,14:53,Falcons,Jason Snelling 4 yard pass from Matt Ryan (Matt Bryant kick),3,7
2,2.0,11:01,Jets,Jeff Cumberland 20 yard pass from Geno Smith (Nick Folk kick),10,7
3,2.0,7:19,Jets,Jeremy Kerley 16 yard pass from Geno Smith (Nick Folk kick),17,7
4,3.0,7:59,Falcons,Jacquizz Rodgers 4 yard rush (Matt Bryant kick),17,14
5,3.0,0:39,Jets,Nick Folk 36 yard field goal,20,14
6,4.0,12:00,Jets,Kellen Winslow 1 yard pass from Geno Smith (Nick Folk kick),27,14
7,4.0,8:03,Falcons,Jacquizz Rodgers 19 yard rush (Matt Bryant kick),27,21
8,4.0,1:54,Falcons,Levine Toilolo 3 yard pass from Matt Ryan (Matt Bryant kick),27,28
9,4.0,0:00,Jets,Nick Folk 43 yard field goal,30,28
