,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Mike Cofer 38 yard field goal,0,3
1,2.0,Falcons,Gerald Riggs 3 yard rush (Greg Davis kick),7,3
2,2.0,Falcons,James Primus 29 yard rush (Greg Davis kick),14,3
3,2.0,Falcons,Chris Miller 1 yard rush (Greg Davis kick),21,3
4,3.0,Falcons,Greg Davis 47 yard field goal,24,3
5,3.0,49ers,Guy McIntyre 17 yard pass from Joe Montana (Mike Cofer kick),24,10
6,4.0,Falcons,Robert Moore 47 yard interception return (Greg Davis kick),31,10
7,4.0,49ers,Mike Wilson 13 yard pass from Joe Montana (Mike Cofer kick),31,17
8,4.0,Falcons,Greg Davis 41 yard field goal,34,17
