,Quarter,Tm,Detail,NYJ,DEN
0,1.0,Jets,Jim Turner 15 yard field goal,3,0
1,1.0,Jets,Bill Mathis 1 yard rush (Jim Turner kick),10,0
2,1.0,Jets,Jim Turner 49 yard field goal,13,0
3,2.0,Broncos,Floyd Little 1 yard rush (Bobby Howfield kick),13,7
4,2.0,Broncos,Mike Haffner 23 yard pass from Pete Liske (Bobby Howfield kick),13,14
5,4.0,Broncos,Al Denson 41 yard pass from Pete Liske (Bobby Howfield kick),13,21
6,4.0,Jets,Emerson Boozer 3 yard rush (pass failed),19,21
