,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,10:14,Chiefs,Harrison Butker 53 yard field goal,3,0
1,1.0,8:11,Raiders,Amari Cooper 38 yard pass from Derek Carr (Giorgio Tavecchio kick),3,7
2,1.0,4:17,Chiefs,Travis Kelce 10 yard pass from Alex Smith (Harrison Butker kick),10,7
3,1.0,0:40,Raiders,Amari Cooper 45 yard pass from Derek Carr (Giorgio Tavecchio kick),10,14
4,2.0,8:51,Chiefs,Tyreek Hill 64 yard pass from Alex Smith (Harrison Butker kick),17,14
5,2.0,1:06,Chiefs,Harrison Butker 39 yard field goal,20,14
6,3.0,10:45,Raiders,DeAndre Washington 4 yard rush (Giorgio Tavecchio kick),20,21
7,3.0,7:08,Chiefs,Albert Wilson 63 yard pass from Alex Smith (Harrison Butker kick),27,21
8,3.0,0:47,Chiefs,Harrison Butker 37 yard field goal,30,21
9,4.0,11:53,Raiders,Giorgio Tavecchio 26 yard field goal,30,24
10,4.0,0:00,Raiders,Michael Crabtree 2 yard pass from Derek Carr (Giorgio Tavecchio kick),30,31
