,Quarter,Time,Tm,Detail,PHI,SFO
0,1.0,,Eagles,Charlie Garner 1 yard rush (Eddie Murray kick),7,0
1,1.0,8:22,Eagles,Charlie Garner 28 yard rush (Eddie Murray kick),14,0
2,2.0,8:22,Eagles,"Safety, Fuller tackled Young in end zone",16,0
3,2.0,8:22,Eagles,Victor Bailey 28 yard pass from Randall Cunningham (Eddie Murray kick),23,0
4,2.0,8:22,49ers,Steve Young 1 yard rush (Brent Jones pass from Steve Young),23,8
5,2.0,8:22,Eagles,Herschel Walker 2 yard rush (Eddie Murray kick),30,8
6,3.0,8:22,Eagles,Eddie Murray 36 yard field goal,33,8
7,4.0,8:22,Eagles,Mark Bavaro 18 yard pass from Randall Cunningham (Eddie Murray kick),40,8
