,Quarter,Tm,Detail,PIT,PHI
0,2.0,Eagles,Joe Carter 65 yard pass from Davey O'Brien (Fran Murray kick),0,7
1,3.0,Eagles,Fran Murray 32 yard field goal,0,10
2,4.0,Pirates,Boyd Brumbaugh 1 yard rush (Armand Niccolai kick),7,10
3,4.0,Pirates,George Platukis 63 yard pass from Boyd Brumbaugh (Armand Niccolai kick),14,10
4,4.0,Eagles,Jay Arnold 40 yard touchdown on a lateral (Fran Murray kick),14,17
