,Quarter,Tm,Detail,PIT,RAM
0,2.0,Rams,Tom Fears 10 yard pass from Norm Van Brocklin (Bob Waterfield kick),0,7
1,2.0,Rams,Night Train Lane 42 yard interception return (Bob Waterfield kick),0,14
2,3.0,Steelers,Darrell Hogan 15 yard interception return (Gary Kerkorian kick),7,14
3,3.0,Rams,Tom Fears 5 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,21
4,4.0,Rams,Elroy Hirsch 65 yard pass from Norm Van Brocklin (Bob Waterfield kick),7,28
5,4.0,Steelers,Elbie Nickel 13 yard pass from Jim Finks (Gary Kerkorian kick),14,28
