,Quarter,Tm,Detail,KAN,DEN
0,1.0,Broncos,Haven Moses 8 yard pass from Craig Penrose (Jim Turner kick),0,7
1,1.0,Chiefs,Jan Stenerud 31 yard field goal,3,7
2,2.0,Chiefs,Walter White 3 yard pass from Mike Livingston (Jan Stenerud kick),10,7
3,2.0,Broncos,Riley Odoms 29 yard pass from Craig Penrose (Jim Turner kick),10,14
4,2.0,Chiefs,Mike Livingston 1 yard rush,16,14
5,4.0,Broncos,Jim Turner 20 yard field goal,16,17
