,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Ozzie Newsome 13 yard pass from Bernie Kosar,0,6
1,1.0,Oilers,Lorenzo White 3 yard pass from Warren Moon (Teddy Garcia kick),7,6
2,2.0,Browns,Derrick Gainer 1 yard rush (Jerry Kauric kick),7,13
3,2.0,Oilers,Haywood Jeffires 46 yard pass from Warren Moon (Teddy Garcia kick),14,13
4,3.0,Browns,Jerry Kauric 22 yard field goal,14,16
5,4.0,Oilers,Curtis Duncan 37 yard pass from Warren Moon (Teddy Garcia kick),21,16
6,4.0,Oilers,Tony Jones 23 yard pass from Warren Moon (Teddy Garcia kick),28,16
7,4.0,Oilers,Ernest Givins 7 yard pass from Warren Moon (Teddy Garcia kick),35,16
8,4.0,Browns,Reggie Langhorne 4 yard pass from Bernie Kosar (Jerry Kauric kick),35,23
