,Quarter,Tm,Detail,ATL,MIN
0,2.0,Vikings,Clint Jones 73 yard rush (Fred Cox kick),0,7
1,2.0,Falcons,Jim Mitchell 55 yard offensive fumble return (Bill Bell kick),7,7
2,3.0,Vikings,Fred Cox 19 yard field goal,7,10
3,3.0,Vikings,Bill Brown 23 yard rush (Fred Cox kick),7,17
4,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),7,24
