,Quarter,Tm,Detail,FRN,BUF
0,1,Yellow Jackets,Arnie Oehlrich unknown yard pass from Ken Mercer,6,0
1,2,Yellow Jackets,Ed Halicki unknown yard pass from Wild Bill Kelly (Ed Halicki kick),13,0
