,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Roger Craig 5 yard rush (Fuad Reveiz kick),7,0
1,1.0,Vikings,Carlos Jenkins 22 yard defensive fumble return (Fuad Reveiz kick),14,0
2,2.0,Vikings,Anthony Carter 10 yard rush (Fuad Reveiz kick),21,0
3,2.0,Vikings,Chris Doleman 27 yard interception return (Fuad Reveiz kick),28,0
4,4.0,Vikings,Roger Craig 2 yard rush (Fuad Reveiz kick),35,0
5,4.0,Buccaneers,Gary Anderson 4 yard rush (Ken Willis kick),35,7
