,Quarter,Tm,Detail,SDG,PIT
0,1.0,Steelers,Gary Anderson 45 yard field goal,0,3
1,1.0,Chargers,Gary Plummer 2 yard pass from Billy Joe Tolliver (Fuad Reveiz kick),7,3
2,2.0,Steelers,Eric Green 8 yard pass from Bubby Brister (Gary Anderson kick),7,10
3,2.0,Steelers,Eric Green 1 yard pass from Bubby Brister (Gary Anderson kick),7,17
4,3.0,Steelers,Warren Williams 2 yard rush (Gary Anderson kick),7,24
5,3.0,Chargers,Les Miller defensive fumble recovery in end zone (Fuad Reveiz kick),14,24
6,4.0,Steelers,"Safety, Stone blocked punt out of end zone",14,26
7,4.0,Steelers,Gary Anderson 45 yard field goal,14,29
8,4.0,Steelers,Barry Foster 2 yard rush (Gary Anderson kick),14,36
