,Quarter,Tm,Detail,DEN,SEA
0,1,Broncos,Mark Jackson 6 yard pass from Tommy Maddox (David Treadwell kick),7,0
1,1,Broncos,David Treadwell 28 yard field goal,10,0
2,2,Seahawks,John Kasay 30 yard field goal,10,3
3,3,Broncos,David Treadwell 36 yard field goal,13,3
4,4,Seahawks,John Kasay 33 yard field goal,13,6
5,4,Seahawks,Brian Blades 3 yard pass from Stan Gelbaugh (John Kasay kick),13,13
6,OT,Seahawks,John Kasay 32 yard field goal,13,16
