,Quarter,Tm,Detail,PIT,SDG
0,1.0,Chargers,Clarence Williams 2 yard rush,0,6
1,2.0,Chargers,Rolf Benirschke 38 yard field goal,0,9
2,3.0,Steelers,Sidney Thornton 1 yard rush (Roy Gerela kick),7,9
3,3.0,Steelers,Roy Gerela 27 yard field goal,10,9
