,Quarter,Tm,Detail,BAL,GNB
0,2.0,Packers,Jim Taylor 12 yard rush (Paul Hornung kick),0,7
1,2.0,Colts,Alan Ameche 12 yard rush (Steve Myhra kick),7,7
2,3.0,Packers,Jim Taylor 3 yard rush (Paul Hornung kick),7,14
3,4.0,Packers,Jim Taylor 1 yard rush (Paul Hornung kick),7,21
4,4.0,Colts,Alex Hawkins 1 yard rush (Steve Myhra kick),14,21
5,4.0,Packers,Tom Moore 12 yard pass from Lamar McHan (Paul Hornung kick),14,28
6,4.0,Colts,Alex Hawkins 1 yard pass from Johnny Unitas (Steve Myhra kick),21,28
7,4.0,Packers,Lamar McHan 35 yard rush (Paul Hornung kick),21,35
