,Quarter,Tm,Detail,BAL,CHI
0,1.0,Colts,Alan Ameche 1 yard rush (Tom Feamster kick),7,0
1,2.0,Bears,Rick Casares 6 yard rush (George Blanda kick),7,7
2,2.0,Bears,Harlon Hill 37 yard pass from Ed Brown (George Blanda kick),7,14
3,2.0,Colts,Lenny Moore 56 yard rush (Tom Feamster kick),14,14
4,2.0,Bears,Harlon Hill 68 yard pass from Ed Brown,14,20
5,3.0,Colts,Carl Taseff 96 yard field goal return (Tom Feamster kick),21,20
6,3.0,Bears,Rick Casares 13 yard rush (George Blanda kick),21,27
7,3.0,Bears,J.C. Caroline 59 yard interception return (George Blanda kick),21,34
8,3.0,Bears,George Blanda 30 yard field goal,21,37
9,4.0,Bears,Bill McColl 4 yard pass from George Blanda (George Blanda kick),21,44
10,4.0,Bears,Gene Schroeder 9 yard pass from George Blanda (George Blanda kick),21,51
11,4.0,Bears,Bill McColl 9 yard pass from George Blanda (George Blanda kick),21,58
12,4.0,Colts,Jim Mutscheller 36 yard pass from Johnny Unitas,27,58
