,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Scott Laidlaw 1 yard rush (Rafael Septien kick),7,0
1,1.0,Eagles,Tony Franklin 27 yard field goal,7,3
2,1.0,Cowboys,Rafael Septien 40 yard field goal,10,3
3,2.0,Eagles,Wilbert Montgomery 14 yard pass from Ron Jaworski (Tony Franklin kick),10,10
4,3.0,Cowboys,Robert Newhouse 17 yard rush (Rafael Septien kick),17,10
5,4.0,Cowboys,Butch Johnson 17 yard pass from Roger Staubach (Rafael Septien kick),24,10
6,4.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),24,17
