,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,3:53,Ravens,Chris Matthews 8 yard pass from Ryan Mallett (Justin Tucker kick),0,7
1,2.0,14:48,Steelers,Chris Boswell 34 yard field goal,3,7
2,2.0,10:01,Ravens,Justin Tucker 37 yard field goal,3,10
3,2.0,1:17,Ravens,Justin Tucker 50 yard field goal,3,13
4,3.0,11:18,Steelers,DeAngelo Williams 1 yard rush (Chris Boswell kick),10,13
5,4.0,10:35,Ravens,Javorius Allen 3 yard rush (Justin Tucker kick),10,20
6,4.0,6:33,Steelers,DeAngelo Williams 2 yard rush (Chris Boswell kick),17,20
