,Quarter,Tm,Detail,CRD,CLE
0,1.0,Cardinals,Fran Polsfoot 3 yard pass from Jim Hardy (Pat Harder kick),7,0
1,1.0,Cardinals,Pat Harder 47 yard field goal,10,0
2,1.0,Browns,Otto Graham 7 yard rush (Lou Groza kick),10,7
3,2.0,Browns,Lou Groza 33 yard field goal,10,10
4,2.0,Cardinals,Pat Harder 1 yard rush (Pat Harder kick),17,10
5,3.0,Cardinals,Bob Shaw 36 yard pass from Jim Hardy (Pat Harder kick),24,10
6,3.0,Browns,Dante Lavelli 29 yard pass from Otto Graham (Lou Groza kick),24,17
7,4.0,Browns,Dante Lavelli 26 yard pass from Otto Graham (Lou Groza kick),24,24
8,4.0,Browns,Lou Groza 19 yard field goal,24,27
9,4.0,Browns,Marion Motley 2 yard rush (Lou Groza kick),24,34
