,Quarter,Tm,Detail,BAL,WAS
0,1.0,Colts,Jim Mutscheller 10 yard pass from Johnny Unitas (Steve Myhra kick),7,0
1,1.0,Colts,Alex Hawkins 2 yard rush (Steve Myhra kick),14,0
2,2.0,Colts,Steve Myhra 37 yard field goal,17,0
3,3.0,Redskins,John Aveni 30 yard field goal,17,3
4,3.0,Redskins,John Aveni 46 yard field goal,17,6
5,3.0,Colts,Lenny Moore 54 yard rush (Steve Myhra kick),24,6
6,4.0,Colts,Steve Myhra 37 yard field goal,27,6
