,Quarter,Tm,Detail,GNB,PIT
0,2.0,Steelers,Mike Clark 21 yard field goal,0,3
1,2.0,Steelers,Mike Clark 34 yard field goal,0,6
2,2.0,Packers,Herb Adderley 34 yard interception return (Don Chandler kick),7,6
3,2.0,Steelers,Mike Clark 32 yard field goal,7,9
4,3.0,Packers,Marv Fleming 31 yard pass from Bart Starr (Don Chandler kick),14,9
5,3.0,Packers,Don Chandler 9 yard field goal,17,9
6,3.0,Packers,Don Chandler 19 yard field goal,20,9
7,4.0,Packers,Paul Hornung 10 yard pass from Bart Starr (Don Chandler kick),27,9
8,4.0,Packers,Elijah Pitts 2 yard rush (Don Chandler kick),34,9
9,4.0,Packers,Elijah Pitts 2 yard rush (Don Chandler kick),41,9
