,Quarter,Tm,Detail,CRD,PIT
0,1,Steelers,Charlie Seabright 8 yard pass from Bill Dudley (Bill Dudley kick),0,7
1,2,Steelers,Tony Compagno 1 yard rush (Bill Dudley kick),0,14
2,3,Cardinals,Marshall Goldberg 8 yard pass from Ray Mallouf (Ward Cuff kick),7,14
