,Quarter,Tm,Detail,SDG,SEA
0,1.0,Chargers,Buford McGee 1 yard rush (Rolf Benirschke kick),7,0
1,2.0,Seahawks,Norm Johnson 29 yard field goal,7,3
2,2.0,Seahawks,Norm Johnson 30 yard field goal,7,6
3,3.0,Seahawks,Norm Johnson 54 yard field goal,7,9
4,3.0,Seahawks,Byron Franklin 46 yard pass from Dave Krieg (Norm Johnson kick),7,16
5,3.0,Seahawks,Steve Largent 15 yard pass from Dave Krieg (Norm Johnson kick),7,23
6,4.0,Seahawks,Eric Lane 2 yard pass from Dave Krieg (Norm Johnson kick),7,30
7,4.0,Seahawks,Norm Johnson 20 yard field goal,7,33
