,Quarter,Tm,Detail,STL,CLE
0,1.0,Cardinals,Jim Bakken 43 yard field goal,3,0
1,2.0,Cardinals,Jim Hart 1 yard rush (Jim Bakken kick),10,0
2,2.0,Cardinals,Jim Bakken 21 yard field goal,13,0
3,2.0,Cardinals,Roy Shivers 2 yard rush (Jim Bakken kick),20,0
4,2.0,Browns,Milt Morin 22 yard pass from Bill Nelsen (Don Cockroft kick),20,7
5,3.0,Browns,Paul Warfield 65 yard pass from Bill Nelsen (Don Cockroft kick),20,14
6,3.0,Cardinals,Dave Williams 33 yard pass from Jim Hart (Jim Bakken kick),27,14
7,4.0,Browns,Bill Nelsen 1 yard rush (Don Cockroft kick),27,21
