,Quarter,Time,Tm,Detail,TEN,MIA
0,2.0,13:43,Dolphins,Stanley Pritchett 6 yard pass from Damon Huard (Olindo Mare kick),0,7
1,2.0,7:27,Dolphins,Tony Martin 43 yard pass from Damon Huard (Olindo Mare kick),0,14
2,4.0,14:55,Dolphins,Olindo Mare 46 yard field goal,0,17
