,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Kevin Butler 24 yard field goal,3,0
1,1.0,Vikings,Jan Stenerud 25 yard field goal,3,3
2,2.0,Bears,Kevin Butler 19 yard field goal,6,3
3,2.0,Vikings,Anthony Carter 14 yard pass from Tommy Kramer (Jan Stenerud kick),6,10
4,3.0,Bears,Kevin Butler 34 yard field goal,9,10
5,3.0,Vikings,Mike Jones 9 yard pass from Tommy Kramer (Jan Stenerud kick),9,17
6,3.0,Bears,Willie Gault 70 yard pass from Jim McMahon (Kevin Butler kick),16,17
7,3.0,Bears,Dennis McKinnon 25 yard pass from Jim McMahon (Kevin Butler kick),23,17
8,3.0,Bears,Dennis McKinnon 43 yard pass from Jim McMahon (Kevin Butler kick),30,17
9,4.0,Vikings,Anthony Carter 57 yard pass from Tommy Kramer (Jan Stenerud kick),30,24
10,4.0,Bears,Kevin Butler 31 yard field goal,33,24
