,Quarter,Tm,Detail,FRN,POT
0,1.0,Maroons,Tony Latone 1 yard rush,0,6
1,1.0,Maroons,Charlie Berry 20 yard field goal,0,9
2,2.0,Maroons,Hoot Flanagan 90 yard interception return (Charlie Berry kick),0,16
3,3.0,Maroons,Barney Wentz 1 yard rush,0,22
4,3.0,Maroons,Hoot Flanagan 45 yard interception return,0,28
5,4.0,Maroons,Walter French 30 yard pass from Jack Ernst (Charlie Berry kick),0,35
6,4.0,Maroons,Charlie Berry 32 yard pass from Jack Ernst (Charlie Berry kick),0,42
7,4.0,Maroons,Walter French 45 yard pass from Jack Ernst (Charlie Berry kick),0,49
