,Quarter,Tm,Detail,DET,HOU
0,1.0,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),7,0
1,1.0,Oilers,Lorenzo White 1 yard rush (Tony Zendejas kick),7,7
2,2.0,Lions,Robert Clark 16 yard pass from Rodney Peete (Eddie Murray kick),14,7
3,2.0,Oilers,Mike Rozier 1 yard rush (Tony Zendejas kick),14,14
4,2.0,Lions,Eddie Murray 47 yard field goal,17,14
5,3.0,Lions,William White 20 yard defensive fumble return (Eddie Murray kick),24,14
6,3.0,Oilers,Ernest Givins 6 yard pass from Warren Moon (Tony Zendejas kick),24,21
7,3.0,Oilers,Drew Hill 7 yard pass from Warren Moon (Tony Zendejas kick),24,28
8,4.0,Oilers,Warren Moon 2 yard rush (Tony Zendejas kick),24,35
9,4.0,Lions,Barry Sanders 14 yard rush (Eddie Murray kick),31,35
