,Quarter,Time,Tm,Detail,BUF,KAN
0,1.0,9:59,Bills,Eric Moulds 9 yard pass from Rob Johnson (Steve Christie kick),7,0
1,2.0,5:12,Chiefs,Todd Peterson 19 yard field goal,7,3
2,3.0,9:07,Chiefs,Tony Gonzalez 13 yard pass from Elvis Grbac (Todd Peterson kick),7,10
3,4.0,13:35,Bills,Jay Riemersma 18 yard pass from Rob Johnson (Steve Christie kick),14,10
4,4.0,7:55,Chiefs,Tony Gonzalez 9 yard pass from Elvis Grbac (Todd Peterson kick),14,17
5,4.0,2:58,Bills,Rob Johnson 12 yard rush (Steve Christie kick),21,17
