,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Billy Ray Barnes 3 yard pass from Sonny Jurgensen (Bobby Walston kick),0,7
1,1.0,Eagles,Dick Lucas 3 yard pass from Sonny Jurgensen (Bobby Walston kick),0,14
2,2.0,Eagles,Bobby Walston 19 yard field goal,0,17
3,2.0,Cardinals,Prentice Gautt 12 yard pass from Sam Etcheverry (Gerry Perry kick),7,17
4,2.0,Cardinals,Sonny Randle 35 yard pass from Sam Etcheverry (Gerry Perry kick),14,17
5,2.0,Eagles,Bobby Walston 16 yard field goal,14,20
6,3.0,Eagles,Billy Ray Barnes 2 yard pass from Sonny Jurgensen (Bobby Walston kick),14,27
7,3.0,Cardinals,Taz Anderson 1 yard rush,20,27
8,4.0,Cardinals,Prentice Gautt 54 yard rush (Gerry Perry kick),27,27
9,4.0,Cardinals,Gerry Perry 27 yard field goal,30,27
