,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,7:35,Falcons,Jamal Anderson 2 yard rush (Morten Andersen kick),0,7
1,2.0,4:30,Falcons,Jamal Anderson 34 yard rush (Morten Andersen kick),0,14
2,2.0,1:16,49ers,Jerry Rice 17 yard pass from Steve Young (Wade Richey kick),7,14
3,2.0,0:01,49ers,Wade Richey 36 yard field goal,10,14
4,3.0,2:15,Falcons,Morten Andersen 29 yard field goal,10,17
5,4.0,11:30,Falcons,Morten Andersen 32 yard field goal,10,20
6,4.0,4:28,49ers,Steve Young 8 yard rush (Greg Clark pass from Ty Detmer ),18,20
