,Quarter,Time,Tm,Detail,BAL,CLE
0,1.0,9:45,Browns,Corey Coleman 31 yard pass from Josh McCown (Patrick Murray kick),0,7
1,1.0,6:47,Browns,Isaiah Crowell 85 yard rush (Patrick Murray kick),0,14
2,1.0,4:34,Browns,Corey Coleman 11 yard pass from Josh McCown (Patrick Murray kick failed),0,20
3,1.0,4:34,Ravens,Tavon Young defensive extra point return,2,20
4,2.0,1:15,Ravens,Mike Wallace 7 yard pass from Joe Flacco (Justin Tucker kick),9,20
5,2.0,0:00,Ravens,Justin Tucker 52 yard field goal,12,20
6,3.0,12:17,Ravens,Mike Wallace 17 yard pass from Joe Flacco (Justin Tucker kick),19,20
7,4.0,11:19,Ravens,Justin Tucker 49 yard field goal,22,20
8,4.0,2:53,Ravens,Justin Tucker 41 yard field goal,25,20
