,Quarter,Tm,Detail,BKN,GNB
0,1.0,Packers,Joe Laws 11 yard pass from Cecil Isbell (Tiny Engebretsen kick),0,7
1,1.0,Packers,Clarke Hinkle 1 yard rush (Clarke Hinkle kick),0,14
2,2.0,Dodgers,Jeff Barrett 11 yard pass from Ace Parker (Ace Parker kick),7,14
3,2.0,Packers,Andy Uram 18 yard rush (Don Hutson kick),7,21
4,3.0,Packers,Don Hutson 33 yard pass from Cecil Isbell (Clarke Hinkle kick),7,28
5,3.0,Packers,Bernie Scherer 15 yard pass from Bob Monnett (Clarke Hinkle kick),7,35
