,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,Gary Lewis 22 yard rush (Tommy Davis kick),7,0
1,1.0,Eagles,Sam Baker 32 yard field goal,7,3
2,2.0,49ers,Bob Windsor defensive fumble recovery in end zone (Tommy Davis kick),14,3
3,2.0,Eagles,Mike Ditka 10 yard pass from Norm Snead (Sam Baker kick),14,10
4,2.0,49ers,Gary Lewis 3 yard rush (Tommy Davis kick),21,10
5,3.0,Eagles,Tom Woodeshick 11 yard pass from Norm Snead (Sam Baker kick),21,17
6,3.0,Eagles,Ben Hawkins 31 yard pass from Norm Snead (Sam Baker kick),21,24
7,4.0,Eagles,Sam Baker 33 yard field goal,21,27
8,4.0,49ers,Ken Willard 4 yard rush (Tommy Davis kick),28,27
