,Quarter,Time,Tm,Detail,GNB,CHI
0,1.0,7:20,Packers,Mason Crosby 40 yard field goal,3,0
1,1.0,2:15,Bears,Connor Barth 45 yard field goal,3,3
2,2.0,11:41,Packers,Ty Montgomery 37 yard rush (Mason Crosby kick),10,3
3,2.0,0:00,Bears,Connor Barth 44 yard field goal,10,6
4,3.0,10:16,Packers,Mason Crosby 24 yard field goal,13,6
5,4.0,13:09,Packers,Mason Crosby 50 yard field goal,16,6
6,4.0,10:39,Bears,Josh Bellamy 46 yard pass from Mitchell Trubisky (Connor Barth kick),16,13
7,4.0,5:29,Packers,Davante Adams 19 yard pass from Brett Hundley (Mason Crosby kick),23,13
8,4.0,3:19,Bears,Connor Barth 49 yard field goal,23,16
