,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Ray Griffin 28 yard interception return (Ian Sunter kick),0,7
1,1.0,Bengals,Ian Sunter 27 yard field goal,0,10
2,2.0,Steelers,Jim Smith 45 yard pass from Terry Bradshaw (Matt Bahr kick),7,10
3,2.0,Steelers,Lynn Swann 14 yard pass from Terry Bradshaw (Matt Bahr kick),14,10
4,2.0,Bengals,Ian Sunter 42 yard field goal,14,13
5,3.0,Steelers,Lynn Swann 68 yard pass from Terry Bradshaw (Matt Bahr kick),21,13
6,4.0,Bengals,Isaac Curtis 18 yard pass from Jack Thompson (Ian Sunter kick),21,20
7,4.0,Steelers,Greg Hawthorne 4 yard rush (Matt Bahr kick),28,20
8,4.0,Bengals,Don Bass 22 yard pass from Jack Thompson (Ian Sunter kick),28,27
9,4.0,Bengals,Ian Sunter 21 yard field goal,28,30
