,Quarter,Tm,Detail,PIT,NYJ
0,2.0,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),7,0
1,2.0,Jets,Jo-Jo Townsell 93 yard kickoff return (Pat Leahy kick),7,7
2,2.0,Steelers,Gary Anderson 36 yard field goal,10,7
3,2.0,Steelers,Walter Abercrombie 7 yard pass from Mark Malone (Gary Anderson kick),17,7
4,2.0,Jets,Kurt Sohn 24 yard pass from Ken O'Brien (Pat Leahy kick),17,14
5,3.0,Jets,Pat Leahy 18 yard field goal,17,17
6,4.0,Steelers,Mark Malone 1 yard rush (Gary Anderson kick),24,17
7,4.0,Steelers,John Stallworth 40 yard pass from Mark Malone (Gary Anderson kick),31,17
8,4.0,Steelers,Lupe Sanchez 67 yard interception return (Gary Anderson kick),38,17
9,4.0,Jets,Mickey Shuler 5 yard pass from Pat Ryan (Pat Leahy kick),38,24
10,4.0,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),45,24
