,Quarter,Tm,Detail,CHI,RAI
0,1,Raiders,Chris Bahr 48 yard field goal,0,3
1,2,Bears,Kevin Butler 38 yard field goal,3,3
2,4,Bears,Kevin Butler 30 yard field goal,6,3
